核苷种类,A溶剂,A添加剂种类mmol,A添加剂种类%,B溶剂,B添加剂种类mmol,B添加剂种类%,H,S*,A,B,C (pH 2.8),C (pH 7.0),色谱柱调料粒径,色谱柱长度,色谱柱内径,柱温,A添加剂种类浓度mmol,A添加剂种类浓度%,B添加剂种类浓度mmol,B添加剂种类浓度%,起始时间min,起始比例A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,中间点时间 min,中间点比例 A,流速,进样量,保留时间
尿苷,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,6
鸟苷,水,无,无,甲醇,无,无,1.01,0.01,0.04,0,0,0,3,150,4.6,35,0,0,0,0,0,97,6,95,7,92,10,40,12,20,12.1,0,14,0,14.1,97,23.1,97,-1,-1,0.8,5,12.1
胸苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,44
胸苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,44
腺苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,54
腺苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,54
尿嘧啶,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,6
胞苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,7.6
胸腺嘧啶,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,13.5
腺嘌呤,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,18.7
肌苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,16.1
胸苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,18.4
腺苷,水,磷酸二氢钾,无,甲醇,无,无,0.9,-0.05,0.01,-0.03,0.32,0.73,5,250,4.6,40,10,0,0,0,0,100,8,100,15,80,30,10,35,0,40,100,-1,-1,-1,-1,-1,-1,-1,-1,1,20,19.9
次黄嘌呤,水,乙酸铵,无,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,40,0,0,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,3
肌苷,水,乙酸铵,无,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,40,0,0,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,3.4
肌苷,水,无,甲酸,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,0,0.001,0,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,5.6
腺苷,水,乙酸铵,无,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,40,0,0,0,0,100,2.5,100,3,70,6,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,1,5.2
腺苷,水,无,甲酸,乙醇,无,无,0.581,-0.12,-0.133,0.051,-0.014,0.67,2.7,50,4.6,35,0,0.001,0,0,0,100,4,100,8,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.4,1,7.1
胞苷,甲醇,无,无,水,磷酸,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0,0,0.001,0,0.5,15,7,25,15,35,80,45,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,8
胸苷,甲醇,无,无,水,磷酸,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0,0,0.001,0,0.5,15,7,25,15,35,80,45,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,27
腺苷,甲醇,无,无,水,磷酸,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0,0,0.001,0,0.5,15,7,25,15,35,80,45,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,17
2-脱氧腺苷,甲醇,无,无,水,磷酸,无,0.88,-0.07,0.31,0.02,0.1,1.2,5,250,4.6,30,0,0,0,0.001,0,0.5,15,7,25,15,35,80,45,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,21
尿嘧啶,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,7.2
尿嘧啶,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,7.2
次黄嘌呤,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,14.5
次黄嘌呤,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,14.5
黄嘌呤,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,15
黄嘌呤,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,15
胸腺嘧啶,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,21.7
胸腺嘧啶,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,21.7
肌苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,28.8
肌苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,28.8
脱氧肌苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,31
脱氧肌苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,31
2-脱氧鸟苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,34
腺苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,35.6
腺苷,乙腈,无,无,水,无,无,1,0.01,-0.07,-0.03,0.01,0.04,5,250,4.6,30,0,0,0,0,0,1,10,1,20,3,25,8,32,20,45,20,50,50,60,100,-1,-1,-1,-1,0.6,20,35.6
尿嘧啶,乙腈,无,无,水,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,30,0,0,0,0,0,0,9,1,13,4,18,4,23,25,23.5,0,-1,-1,-1,-1,-1,-1,-1,-1,1,20,6.4
次黄嘌呤,乙腈,无,无,水,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,30,0,0,0,0,0,0,9,1,13,4,18,4,23,25,23.5,0,-1,-1,-1,-1,-1,-1,-1,-1,1,20,10.5
黄嘌呤,乙腈,无,无,水,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,30,0,0,0,0,0,0,9,1,13,4,18,4,23,25,23.5,0,-1,-1,-1,-1,-1,-1,-1,-1,1,20,16.1
胸苷,甲醇,无,无,水,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,150,4.6,25,0,0,0,0,0,10,15,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,9.2
腺苷,甲醇,无,无,水,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,150,4.6,25,0,0,0,0,0,10,15,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,14.8
腺苷,水,无,无,乙腈,无,无,1.03,0.03,0.04,-0.01,-0.18,-0.09,5,250,4.6,35,0,0,0,0,0,100,7,97,12,97,22,94,40,94,41,100,-1,-1,-1,-1,-1,-1,-1,-1,0.5,10,29.5
胞嘧啶,乙腈,无,无,水,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,2,12,2,16,8,18,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,4
尿嘧啶,乙腈,无,无,水,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,2,12,2,16,8,18,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,6
肌苷,乙腈,无,无,水,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,2,12,2,16,8,18,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,10
腺苷,乙腈,无,无,水,无,无,1.05,0.06,0.01,-0.02,-0.3,0.12,5,250,4.6,30,0,0,0,0,0,2,12,2,16,8,18,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,19
尿嘧啶,甲醇,无,无,水,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,7
胞苷,甲醇,无,无,水,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,10.5
次黄嘌呤,甲醇,无,无,水,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,13
尿苷,甲醇,无,无,水,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,35,15,55,30,72,40,85,50,90,55,35,60,35,-1,-1,-1,-1,-1,-1,1,50,11
肌苷,甲醇,无,无,水,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,23
鸟苷,甲醇,无,无,水,无,无,0.96,0,0.02,0.01,-0.09,0.19,5,250,4.6,25,0,0,0,0,0,35,15,55,30,72,40,85,50,90,55,35,60,35,-1,-1,-1,-1,-1,-1,1,50,25
胸苷,甲醇,无,无,水,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,27
腺苷,甲醇,无,无,水,无,无,0.984,-0.004,-0.1,-0.038,0.066,1.08,5,250,4.6,25,0,0,0,0,0,2,7,2,7.1,3,13,3,25,20,40,100,-1,-1,-1,-1,-1,-1,-1,-1,0.8,50,30
胞嘧啶,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,1.9
尿嘧啶,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,10
胞苷,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,12
次黄嘌呤,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,14
次黄嘌呤,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,14.5
次黄嘌呤,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,14.5
黄嘌呤,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,17
胸腺嘧啶,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,20.3
腺嘌呤,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,28
腺嘌呤,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,32.5
腺嘌呤,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,32.5
肌苷,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,29.2
肌苷,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,35
肌苷,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,35
尿苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,3.8
尿苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,4.6
2-脱氧鸟苷,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,32
胸苷,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,33.4
腺苷,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,37
腺苷,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,50
腺苷,水,无,磷酸二氢钾-磷酸氢二钾,水,无,磷酸二氢钾-磷酸氢二钾：甲醇=9:1,0.868,-0.033,-0.055,0.029,0.058,0.363,5,150,4.6,25,50,0,50,0,0,100,14,100,25,75,35,10,40,0,55,0,-1,-1,-1,-1,-1,-1,-1,-1,0.6,5,50
腺苷,乙腈,无,无,水,磷酸二氢钾,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,40,0,0,50,0,0,0,10,2,20,10,21,60,25,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,18.5
2-脱氧腺苷,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,38.5
虫草素,甲醇,无,无,水,无,无,0.868,-0.033,-0.055,0.029,0.058,0.363,5,250,4.6,30,0,0,0,0,0,0,10,0,15,5,30,20,35,25,36,0,45,0,-1,-1,-1,-1,-1,-1,1,10,39
胸腺嘧啶,水,无,磷酸,乙腈,无,无,0.98,0.01,-0.14,-0.01,0.13,0.05,5,250,4.6,40,0,0.005,0,0,0,0,5,95,6,30,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.6,15,3.8
尿嘧啶,甲醇,无,无,水,无,冰醋酸,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0,0,0.0007,0,4,15,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,3.9
尿嘧啶,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,3.5
尿嘧啶,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4.1
胞苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5.5
胞苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,0.5,2,0.5,3,1,7,2,8,5,10,10,40,40,-1,-1,-1,-1,-1,-1,1,2,4.6
次黄嘌呤,甲醇,无,无,水,无,冰醋酸,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0,0,0.0007,0,4,15,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5.2
次黄嘌呤,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5.5
鸟嘌呤,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,6.1
尿苷,乙腈,无,无,甲酸,无,甲酸,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0,0,0.0001,0,0,1,0,8,8,9,15,10.5,15,11,0,15,0,-1,-1,-1,-1,-1,-1,0.3,3,3.8
鸟苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0.006,0,0,0,0,1,100,8,92,9,85,10.5,85,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,3,5.9
鸟苷,水,无,甲酸,乙腈,无,无,0.94,-0.02,-0.17,0,0.03,0.18,1.7,100,2.1,30,0,0.006,0,0,0,100,3,100,7,95,12,85,13,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3,5,9.2
鸟苷,乙腈,无,无,甲酸,无,甲酸,0.94,-0.02,-0.17,0,0.03,0.18,1.8,100,2.1,30,0,0,0,0.0001,0,0,1,0,8,8,9,15,10.5,15,11,0,15,0,-1,-1,-1,-1,-1,-1,0.3,3,5.8
腺嘌呤,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,12
腺嘌呤,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4.6
腺嘌呤,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,0.5,2,0.5,3,1,7,2,8,5,10,10,40,40,-1,-1,-1,-1,-1,-1,1,2,9.3
肌苷,甲醇,无,无,水,无,冰醋酸,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0,0,0.0007,0,4,15,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,12
肌苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,13
肌苷,水,无,冰醋酸,甲醇,无,无,1.03,0,-0.07,-0.02,0,0.02,5,250,4.6,28,0,0.007,0,0,100,18,96,35,80,40,96,45,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,13.8
尿苷,甲醇,无,无,水,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,1,10,5,15,15,20,20,30,20,35,35,40,1,-1,-1,-1,-1,-1,-1,1,10,18
鸟苷,甲醇,无,无,水,无,无,0.85,-0.02,-0.22,-0.02,-0.04,-0.07,5,250,4.6,25,0,0,0,0,0,1,10,5,15,15,20,20,30,20,35,35,40,1,-1,-1,-1,-1,-1,-1,1,10,17.5
尿苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,20
胸苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,15
腺苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,3.5,150,4.6,25,0,0,0,0,0,0,8,0,8.5,5,20,25,22,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,17
腺苷,甲醇,无,无,水,无,无,1.03,0,-0.07,-0.02,0,0.02,5,100,4.6,15,0,0,0,0,0,0.5,2,0.5,3,1,7,2,8,5,10,10,40,40,-1,-1,-1,-1,-1,-1,1,2,15.6
尿苷,水,无,无,甲醇,无,无,0.75,-0.07,-0.38,-0.05,0.08,0.54,5,250,4.6,35,0,0,0,0,0,100,6,100,30,80,35,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,20,20
腺苷,甲醇,无,无,水,无,磷酸,1.07,0.02,-0.06,-0.03,0.05,0.08,5,250,4.6,25,0,0,0,0.002,0,15,0,30,2,45,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.7,20,19.2
尿嘧啶,甲醇,无,无,水,无,甲酸,0.59,-0.12,-0.08,0.03,-0.13,0.73,5,250,4.6,30,0,0,0,0.001,0,1,10,1,25,15,26,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.8,10,8
