时间,A比例,1
50,90,
,,
,,
,,
,,
,,
,,
0,100,
7,100,
20,97,
40,90,
50,90,
,,
,,
,,
,,
,,
,,
0,1,
10,5,
15,15,
20,20,
30,20,
35,35,
40,1,
,,
,,
,,
,,
0,2,
5,8,
10,15,
25,25,
40,45,
50,60,
60,70,
70,70,
71,2,
,,
,,
0,15,
0,30,
2,45,
6,,
,,
,,
,,
,,
,,
,,
,,
0,100,
7,97,
12,97,
22,94,
40,94,
41,100,
,,
,,
,,
,,
,,
0,100,
14,100,
25,75,
35,10,
40,0,
55,0,
,,
,,
,,
,,
,,
0,100,
14,100,
25,75,
35,10,
40,0,
55,0,
,,
,,
,,
,,
,,
0,0,
8,0,
20,8,
37,8,
,,
,,
,,
,,
,,
,,
,,
0,100,
6,100,
30,80,
35,80,
,,
,,
,,
,,
,,
,,
,,
0,100,
6,100,
30,80,
35,80,
,,
,,
,,
,,
,,
,,
,,
0,100,
6,100,
30,80,
35,80,
,,
,,
,,
,,
,,
,,
,,
100,18,
96,35,
80,40,
96,45,
96,,
,,
,,
,,
,,
,,
,,
0,0,
10,0,
20,5,
30,15,
40,15,
50,20,
,,
,,
,,
,,
,,
0,97,
10,95,
15,80,
20,60,
,,
,,
,,
,,
,,
,,
,,
0,0,
10,5,
30,20,
40,20,
,,
,,
,,
,,
,,
,,
,,
0,0.5,
2,0.5,
3,1,
7,2,
8,5,
10,10,
40,40,
,,
,,
,,
,,
0,100,
8,95,
20,90,
60,60,
,,
,,
,,
,,
,,
,,
,,
0,100,
2.5,100,
3,70,
6,60,
,,
,,
,,
,,
,,
,,
,,
0,0,
10,1,
20,5,
25,5,
35,30,
37,0,
40,0,
,,
,,
,,
,,
0,1,
5,1,
10,5,
20,12,
30,24,
40,31,
,,
,,
,,
,,
,,
0,1,
5,1,
10,5,
20,12,
30,24,
40,31,
,,
,,
,,
,,
,,
0,1,
10,1,
20,3,
25,8,
32,20,
45,20,
50,50,
60,100,
,,
,,
,,
0,1,
10,1,
20,3,
25,8,
32,20,
45,20,
50,50,
60,100,
,,
,,
,,
0,2,
6,4,
12,12,
12.1,24,
17,25,
25,25,
28,2,
,,
,,
,,
,,
0,0,
10,2,
20,10,
21,60,
25,60,
,,
,,
,,
,,
,,
,,
0,0.5,
15,7,
25,15,
35,80,
45,90,
,,
,,
,,
,,
,,
,,
0,0,
6,0,
25,10,
29,25,
